Model,Prompt,Behavior,GT-present N,Accuracy [95% CI],Precision [95% CI],Recall [95% CI],F1 [95% CI],Temporal Recall % [95% CI],Temporal Precision % [95% CI],Matched Videos
Qwen,Baseline,Arm Flapping,19,"0.778 [0.593, 0.926]","0.882 [0.722, 1.000]","0.789 [0.583, 0.947]","0.833 [0.685, 0.947]","64.6 [47.0, 81.5]","51.8 [36.1, 66.0]",27
,,Head Banging,3,"0.926 [0.815, 1.000]","0.667 [0.000, 1.000]","0.667 [0.000, 1.000]","0.667 [0.333, 1.000]","53.1 [0.0, 100.0]","63.7 [33.3, 94.1]",27
,,Spinning,6,"0.963 [0.889, 1.000]","0.857 [0.500, 1.000]","1.000 [1.000, 1.000]","0.923 [0.667, 1.000]","78.3 [60.7, 95.5]","64.3 [43.8, 81.2]",27
,CoT,Arm Flapping,19,"0.778 [0.630, 0.926]","0.882 [0.714, 1.000]","0.789 [0.579, 0.947]","0.833 [0.686, 0.947]","73.6 [52.9, 90.4]","48.8 [32.2, 65.9]",27
,,Head Banging,3,"0.963 [0.889, 1.000]","1.000 [1.000, 1.000]","0.667 [0.000, 1.000]","0.800 [0.400, 1.000]","58.0 [0.0, 100.0]","58.3 [33.3, 83.3]",27
,,Spinning,6,"0.963 [0.889, 1.000]","1.000 [1.000, 1.000]","0.833 [0.427, 1.000]","0.909 [0.660, 1.000]","60.6 [33.3, 87.3]","64.7 [41.7, 82.8]",27
,Long,Arm Flapping,19,"0.741 [0.556, 0.889]","0.929 [0.769, 1.000]","0.684 [0.454, 0.882]","0.788 [0.593, 0.914]","55.0 [34.8, 74.1]","50.6 [32.7, 68.9]",27
,,Head Banging,3,"0.926 [0.815, 1.000]","1.000 [1.000, 1.000]","0.333 [0.000, 1.000]","0.500 [0.333, 1.000]","24.7 [0.0, 74.1]","95.2 [95.2, 95.2]",27
,,Spinning,6,"0.963 [0.889, 1.000]","1.000 [1.000, 1.000]","0.833 [0.500, 1.000]","0.909 [0.667, 1.000]","71.2 [41.2, 96.7]","67.2 [48.6, 81.2]",27
Gemini,Baseline,Arm Flapping,19,"0.852 [0.704, 0.963]","0.826 [0.667, 0.960]","1.000 [1.000, 1.000]","0.905 [0.800, 0.980]","74.7 [60.7, 87.6]","52.6 [38.0, 65.8]",27
,,Head Banging,3,"0.963 [0.889, 1.000]","1.000 [1.000, 1.000]","0.667 [0.000, 1.000]","0.800 [0.400, 1.000]","54.3 [0.0, 100.0]","56.1 [35.0, 77.3]",27
,,Spinning,6,"0.926 [0.815, 1.000]","1.000 [1.000, 1.000]","0.667 [0.250, 1.000]","0.800 [0.444, 1.000]","55.3 [20.5, 88.7]","78.1 [60.2, 95.5]",27
,CoT,Arm Flapping,19,"0.852 [0.704, 0.963]","0.826 [0.667, 0.960]","1.000 [1.000, 1.000]","0.905 [0.800, 0.980]","77.4 [67.1, 86.4]","47.9 [33.7, 61.0]",27
