Model,Prompt,Behavior,GT-present N,Accuracy [95% CI],Precision [95% CI],Recall [95% CI],F1 [95% CI],Temporal Recall % [95% CI],Temporal Precision % [95% CI],Matched Videos
Qwen,Baseline,Arm Flapping,20,"0.741 [0.630, 0.852]","0.650 [0.437, 0.864]","0.650 [0.421, 0.857]","0.650 [0.450, 0.811]","47.2 [29.5, 65.8]","61.2 [46.7, 74.8]",54
,,Head Banging,19,"0.704 [0.574, 0.833]","0.800 [0.250, 1.000]","0.211 [0.048, 0.400]","0.333 [0.100, 0.560]","20.4 [5.2, 40.8]","80.6 [67.8, 93.4]",54
,,Spinning,18,"0.870 [0.778, 0.944]","1.000 [1.000, 1.000]","0.611 [0.375, 0.818]","0.759 [0.545, 0.900]","26.6 [10.9, 42.4]","63.3 [45.9, 80.3]",54
,CoT,Arm Flapping,20,"0.759 [0.630, 0.870]","0.667 [0.455, 0.864]","0.700 [0.474, 0.889]","0.683 [0.485, 0.830]","47.9 [32.1, 64.6]","60.7 [43.9, 74.6]",54
,,Head Banging,19,"0.667 [0.537, 0.796]","0.667 [0.000, 1.000]","0.105 [0.000, 0.250]","0.182 [0.077, 0.400]","10.2 [0.0, 25.6]","85.8 [77.8, 93.8]",54
,,Spinning,18,"0.870 [0.778, 0.963]","0.923 [0.750, 1.000]","0.667 [0.429, 0.867]","0.774 [0.580, 0.923]","45.9 [24.4, 67.2]","65.0 [47.2, 80.1]",54
,Long,Arm Flapping,20,"0.722 [0.611, 0.833]","0.647 [0.412, 0.883]","0.550 [0.333, 0.778]","0.595 [0.384, 0.769]","40.5 [23.3, 58.1]","74.5 [66.2, 82.2]",54
,,Head Banging,19,"0.611 [0.481, 0.741]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","NA [NA, NA]","0.0 [0.0, 0.0]","NA [NA, NA]",54
,,Spinning,18,"0.852 [0.741, 0.944]","1.000 [1.000, 1.000]","0.556 [0.333, 0.786]","0.714 [0.500, 0.880]","38.0 [20.2, 56.5]","72.0 [52.2, 87.9]",54
Gemini,Baseline,Arm Flapping,20,"0.704 [0.574, 0.815]","0.567 [0.387, 0.742]","0.850 [0.666, 1.000]","0.680 [0.500, 0.814]","56.0 [39.0, 72.2]","53.0 [36.1, 70.9]",54
,,Head Banging,19,"0.830 [0.735, 0.925]","1.000 [1.000, 1.000]","0.526 [0.294, 0.778]","0.690 [0.455, 0.875]","35.6 [17.7, 54.3]","62.3 [43.5, 79.6]",54
,,Spinning,18,"0.830 [0.717, 0.925]","1.000 [1.000, 1.000]","0.471 [0.231, 0.727]","0.640 [0.375, 0.842]","21.2 [7.7, 38.7]","62.1 [42.6, 82.5]",54
,CoT,Arm Flapping,20,"0.759 [0.648, 0.870]","0.640 [0.444, 0.833]","0.800 [0.600, 0.955]","0.711 [0.541, 0.851]","60.5 [43.7, 76.0]","62.5 [47.8, 76.9]",54
,,Head Banging,19,"0.815 [0.704, 0.926]","1.000 [1.000, 1.000]","0.474 [0.250, 0.708]","0.643 [0.400, 0.829]","31.1 [15.0, 49.3]","65.5 [41.0, 85.4]",54
,,Spinning,18,"0.833 [0.722, 0.926]","1.000 [1.000, 1.000]","0.500 [0.263, 0.727]","0.667 [0.417, 0.842]","31.7 [14.4, 50.2]","80.4 [66.7, 91.3]",54
,Long,Arm Flapping,20,"0.685 [0.556, 0.796]","0.545 [0.371, 0.710]","0.900 [0.737, 1.000]","0.679 [0.512, 0.806]","66.7 [50.0, 80.8]","58.8 [42.6, 74.2]",54
